Date	School	Cycle	Schedule	Testing	Events
2023-02-18	False	None	None	None	None
2023-02-19	False	None	None	None	None
2023-02-20	False	None	None	None	Mid-Winter Recess
2023-02-21	False	None	None	None	Mid-Winter Recess
2023-02-22	False	None	None	None	Mid-Winter Recess
2023-02-23	False	None	None	None	Mid-Winter Recess
2023-02-24	False	None	None	None	Mid-Winter Recess
2023-02-25	False	None	None	None	None
2023-02-26	False	None	None	None	None
